,appid,name,developer,publisher,price,year,duenos_promedio,rating_neto,rating_perc,Action,Free to Play,Strategy,Adventure,Indie,RPG,Casual,Simulation,Racing,Violent,Massively Multiplayer,Nudity,Sports,Early Access,Gore,Sexual Content,Target
11673,549780,Rainbow Rage Squad,Brent Seeley,Gamepadable,857,2016,10000.0,1,0.545454545454545,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11674,549790,Glorch's Great Escape: Walking is for Chumps,"Warrior General Games, LLC","Warrior General Games, LLC",2268,2017,10000.0,2,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11675,549810,Bunny & Piggy,Brzezinski,SIFAKA DIGITAL,857,2016,35000.0,4,0.514492753623188,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11676,549850,The Shadows of Pygmalion,propeller,MangaGamer,29284,2017,10000.0,37,0.8775510204081629,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11677,549860,One Night Stand,Kinmoku,Kinmoku,2712,2016,35000.0,348,0.899082568807339,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
11678,549880,RoboSports VR,Babeltime,Babeltime,0,2016,10000.0,1,0.5333333333333329,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
11679,549900,Leviathan Starblade,Drahcir,Drahcir,2159,2016,10000.0,7,0.58974358974359,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11680,549910,Locked Fears,dekoga.d,dekoga.d,857,2016,10000.0,12,0.625,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0
11681,549920,VRchaeology: Prologue,Play Nicely,Play Nicely,0,2016,35000.0,22,0.892857142857143,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11682,549950,Vaccine,RNC,RNC,8669,2017,10000.0,10,0.75,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
11683,550010,Happy Room,Mana Potion Studios,Mana Potion Studios,4329,2016,150000.0,712,0.8272058823529409,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
11684,550080,VALKYRIE DRIVE -BHIKKHUNI-,Meteorise;HONEY8PARADE GAMES,Marvelous,24944,2017,35000.0,618,0.8777506112469441,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
11685,550160,Street Champ VR,Zynk Software Srl,Zynk Software Srl,857,2016,10000.0,20,1.0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11686,550170,RPG Fighter League,Owl Green Sea,Owl Green Sea,4329,2019,10000.0,21,1.0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
11687,550180,Fiber Twig: Midnight Puzzle,Puzzle Lab,Puzzle Lab,7801,2016,10000.0,13,0.7826086956521741,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11688,550200,World Destroyers,HardHead Games,HardHead Games,5414,2017,10000.0,4,1.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11689,550220,Charm Tale Quest,Puzzle Lab,Puzzle Lab,6282,2016,10000.0,13,0.80952380952381,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
11690,550240,After Life - Story of a Father,Green Sawdust,Green Sawdust,0,2016,10000.0,6,0.615384615384615,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11691,550310,Root Of Evil: The Tailor,EastFog Studios,EastFog Studios,5414,2016,35000.0,242,0.8601190476190479,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
11692,550340,Umineko: Golden Fantasia,07th Expansion,MangaGamer,21147,2017,10000.0,92,0.853846153846154,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
11693,550360,One Of The Last,Deep Voodoo Gaming,Deep Voodoo Gaming,6282,2017,10000.0,15,0.666666666666667,1,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,0
