"","appid","name","developer","publisher","price","year","duenos_promedio","rating_neto","rating_perc","Action","Free to Play","Strategy","Adventure","Indie","RPG","Casual","Simulation","Racing","Violent","Massively Multiplayer","Nudity","Sports","Early Access","Gore","Sexual Content"
"23471",898680,"JUMP AND RUN - DON'T FALL","DreamWorldGames","DreamWorldGames",857,2018,10000,1,0.666666666666667,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
"23472",898690,"Zombie","EcoShooter","EcoShooter",1834,2018,10000,-1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0
"23473",898740,"Digital Resistance","Diedemor Studio;Anatoly Efremov","Dagestan Technology",857,2018,10000,39,0.740740740740741,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"23474",898760,"Clone Adventures","ImperiumGame","ImperiumGame",857,2018,10000,-6,0.125,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"23475",898780,"Escape Game","RewindApp","RewindApp",857,2018,10000,59,0.940298507462687,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
"23476",898830,"In Your Realm","Christian Boman","Christian Boman",6282,2018,10000,5,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"23477",898930,"Pingball Ultra","Jakub Domanski","Jakub Domanski",857,2018,10000,1,0.555555555555556,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0
"23478",898940,"VirtuaCreature","Zero Imagination Productions","Zero Imagination Productions",4329,2018,10000,3,0.714285714285714,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"23479",898980,"The Mine","Ian;Megan;Maxen","M.I.M",0,2018,10000,28,0.659090909090909,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"23480",899000,"Warlords.io","Nerd Herd Games","Nerd Herd Games",4329,2018,10000,3,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"23481",899020,"Chiptune DJ","Por si las moscas","Por si las moscas",1834,2018,10000,1,0.666666666666667,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"23482",899090,"RiceCakers","FENGYAPING","FENGYAPING",2268,2018,10000,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0
"23483",899100,"SUM","WeVery","Wevery",11924,2018,10000,18,0.909090909090909,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0,0
"23484",899180,"Voronium - Locust Sols","Gamalocus Studios","Gamalocus Studios",12358,2018,10000,22,0.923076923076923,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
